"feature","mean_decrease_accuracy"
"w90d_late_fee_paid",68.9872562103251
"customer_category_id",38.6441991218633
"w90d_days_to_first_payment",32.6290244896187
"w90d_principal_recovery_rate",28.4602786670893
"w90d_payment_gap",28.3222618467651
"w90d_payment_count",24.6746169806874
"w90d_total_paid_to_due_ratio",23.4654770042666
"w90d_principal_paid",23.1289516981613
"w90d_days_since_last_payment",20.1686914386748
"w90d_admin_fee_paid",19.3569473476521
"w90d_interest_paid",18.7674907111574
"w90d_payment_total",17.7744899560625
"loan_charge",15.9333742765017
"contract_charge_rate",15.743990165697
"loan_administrative_fee",15.1425237650843
"loan_created_year",14.8410189054221
"loan_apr",12.9634799753062
"contract_amount_per_day",12.8589109245568
"loan_amount",12.7105786439018
"w90d_scheduled_due_principal",12.4649527237034
"loan_interest",12.2280029075436
"contract_charge_per_day",11.8963057776351
"loan_period",11.2387803305766
"w90d_scheduled_due_interest",11.0642704503419
"w90d_scheduled_due_total",10.7598880276512
"w90d_scheduled_due_admin_fee",9.77107946658846
"sas_credit_score_missing",8.56313021437199
"customer_age_at_loan_days",7.81098689430294
"w90d_days_to_first_payment_missing",6.25860975075402
"w90d_due_installments",6.24768793103768
"w90d_days_since_last_payment_missing",5.624162074559
"w90d_total_paid_to_due_ratio_missing",5.12627271623889
"sas_credit_score_value",3.99801134725727
"w90d_ext_price",3.36288347363162
"customer_age",2.58942337027851
"sas_credit_score",2.07671640842046
"customer_gender",2.045363656019
"w90d_ext_completed_count",1.89795952649087
"loan_created_month",0.96058496143209
"loan_product_id",0.582762660906587
"w90d_charge_paid",0.469207788714155
"w90d_extension_payment_count",0.330544350061871
"w90d_ext_request_count",0.156633951062975
"loan_insurance",0
"customer_income",0
"customer_dependents",0
"w90d_penalty_paid",0
"loan_schedule_type",0
"customer_home_status",0
"customer_work_status",0
"customer_work_activities",0
"customer_region",0
"loan_creditline_mode",-1.45040564742343
"loan_schedule",-1.66783066638411
"w90d_extension_payment_total",-1.74725171739169
"w90d_ext_period_sum",-3.04945822904612
